epoch,train_loss
0,1.0883180290460586
1,0.6843882307410241
2,0.6597043161988259
3,0.6461403650045395
4,0.6208044551014901
5,0.5971498235464096
6,0.5962591302394867
7,0.5816766458153725
8,0.5655228387713432
9,0.5754458404779434
10,0.5793667948842048
11,0.5595795164108276
12,0.5496897644400597
13,0.5721513757705688
14,0.5516134728193283
15,0.5457806512713432
16,0.5358675408363343
17,0.531541814506054
18,0.5281460126042365
19,0.519679838180542
20,0.5162343557476997
21,0.507679913699627
22,0.5079183234572411
23,0.521323610663414
24,0.5124052653908729
25,0.500675596833229
26,0.49659148091077804
27,0.4939338122010231
28,0.4948680682182312
29,0.4928195634782314
30,0.49168453377485277
31,0.49161300086975096
32,0.4854226180315018
33,0.4958439576029777
34,0.4984039441943169
35,0.4882192683517933
36,0.4838968741893768
37,0.48350691646337507
38,0.4784030949473381
39,0.47921689361333847
40,0.48256216281652453
41,0.4778170476555824
42,0.4784195915460587
43,0.4753212677836418
44,0.4827277346253395
